Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player cavern from team Lemonade Stand has the following stats: R2.0: 1.08 ACS: 205.58 K:D: 1.07 KAST: 74.61 ADR: 136.67 KPR: 0.71 APR: 0.37 FKPR: 0.07 FDPR: 0.06 HS%: 22.19 CL%: 16.39 KMax: 26.4 K: 438.56 D: 412.55 A: 229.78 FK: 40.81 FD: 38.33 Rnd: 1209,cavern,Lemonade Stand,"sova, fade, gekko",229.78,205.58,136.67,0.37,,16.39,412.55,38.33,0.06,40.81,0.07,22.19,438.56,1.07,74.61,26.4,0.71,1.08,1209
Player sibeastw0w from team NASR Esports has the following stats: R2.0: 1.1 ACS: 239.95 K:D: 1.14 KAST: 72.0 ADR: 155.24 KPR: 0.84 APR: 0.2 FKPR: 0.21 FDPR: 0.17 HS%: 22.93 CL%: 12.59 KMax: 30.86 K: 900.71 D: 791.18 A: 221.38 FK: 222.91 FD: 188.61 Rnd: 2153,sibeastw0w,NASR Esports,"jett, raze, chamber",221.38,239.95,155.24,0.2,,12.59,791.18,188.61,0.17,222.91,0.21,22.93,900.71,1.14,72.0,30.86,0.84,1.1,2153
Player Smoke from team YFP Gaming has the following stats: R2.0: 1.13 ACS: 248.2 K:D: 1.18 KAST: 71.0 ADR: 160.8 KPR: 0.86 APR: 0.2 FKPR: 0.11 FDPR: 0.1 HS%: 25.0 CL%: 11.0 KMax: 28.0 K: 285.0 D: 241.0 A: 67.0 FK: 37.0 FD: 33.0 Rnd: 331,Smoke,YFP Gaming,"killjoy, chamber, cypher",67.0,248.2,160.8,0.2,,11.0,241.0,33.0,0.1,37.0,0.11,25.0,285.0,1.18,71.0,28.0,0.86,1.13,331
Player DisisJohn from team FOKUS has the following stats: R2.0: 0.99 ACS: 211.81 K:D: 1.04 KAST: 68.17 ADR: 139.56 KPR: 0.78 APR: 0.14 FKPR: 0.21 FDPR: 0.17 HS%: 26.19 CL%: 7.53 KMax: 32.16 K: 302.35 D: 296.1 A: 54.92 FK: 81.73 FD: 64.29 Rnd: 781,DisisJohn,FOKUS,"jett, chamber, raze",54.92,211.81,139.56,0.14,,7.53,296.1,64.29,0.17,81.73,0.21,26.19,302.35,1.04,68.17,32.16,0.78,0.99,781
Player furbsa from team SaD Esports has the following stats: R2.0: 1.06 ACS: 231.3 K:D: 1.11 KAST: 71.11 ADR: 152.25 KPR: 0.82 APR: 0.19 FKPR: 0.17 FDPR: 0.13 HS%: 29.13 CL%: 10.35 KMax: 29.59 K: 496.19 D: 457.94 A: 116.51 FK: 100.26 FD: 82.94 Rnd: 1121,furbsa,SaD Esports,"jett, raze, chamber",116.51,231.3,152.25,0.19,,10.35,457.94,82.94,0.13,100.26,0.17,29.13,496.19,1.11,71.11,29.59,0.82,1.06,1121
Player Akame from team REJECT has the following stats: R2.0: 1.1 ACS: 233.39 K:D: 1.15 KAST: 72.91 ADR: 155.61 KPR: 0.81 APR: 0.26 FKPR: 0.14 FDPR: 0.12 HS%: 23.44 CL%: 14.87 KMax: 33.74 K: 603.77 D: 527.17 A: 190.7 FK: 105.38 FD: 87.6 Rnd: 1478,Akame,REJECT,"jett, sova, raze",190.7,233.39,155.61,0.26,,14.87,527.17,87.6,0.12,105.38,0.14,23.44,603.77,1.15,72.91,33.74,0.81,1.1,1478
Player Siraww from team XERXIA Esports has the following stats: R2.0: 1.04 ACS: 201.93 K:D: 1.01 KAST: 71.13 ADR: 136.17 KPR: 0.71 APR: 0.3 FKPR: 0.07 FDPR: 0.08 HS%: 32.53 CL%: 11.53 KMax: 26.47 K: 690.51 D: 678.47 A: 293.34 FK: 62.84 FD: 68.58 Rnd: 1924,Siraww,XERXIA Esports,"sova, skye, fade",293.34,201.93,136.17,0.3,,11.53,678.47,68.58,0.08,62.84,0.07,32.53,690.51,1.01,71.13,26.47,0.71,1.04,1924
Player slathom999 from team Geek Fam has the following stats: R2.0: 1.16 ACS: 223.5 K:D: 1.15 KAST: 73.74 ADR: 148.99 KPR: 0.8 APR: 0.27 FKPR: 0.09 FDPR: 0.08 HS%: 32.74 CL%: 21.63 KMax: 25.85 K: 284.54 D: 252.77 A: 99.44 FK: 31.01 FD: 30.38 Rnd: 676,slathom999,Geek Fam,"sova, fade, sage",99.44,223.5,148.99,0.27,,21.63,252.77,30.38,0.08,31.01,0.09,32.74,284.54,1.15,73.74,25.85,0.8,1.16,676
Player Kntz from team Made in Thailand has the following stats: R2.0: 1.07 ACS: 194.13 K:D: 1.09 KAST: 74.29 ADR: 126.93 KPR: 0.71 APR: 0.34 FKPR: 0.07 FDPR: 0.05 HS%: 28.94 CL%: 15.94 KMax: 25.42 K: 641.23 D: 591.55 A: 300.63 FK: 60.1 FD: 45.58 Rnd: 1669,Kntz,Made in Thailand,"omen, astra, viper",300.63,194.13,126.93,0.34,,15.94,591.55,45.58,0.05,60.1,0.07,28.94,641.23,1.09,74.29,25.42,0.71,1.07,1669
Player DVDOV from team Triple Esports Club has the following stats: R2.0: 1.08 ACS: 205.64 K:D: 1.1 KAST: 71.05 ADR: 137.14 KPR: 0.73 APR: 0.19 FKPR: 0.08 FDPR: 0.07 HS%: 24.26 CL%: 14.47 KMax: 27.84 K: 446.38 D: 406.24 A: 120.97 FK: 47.48 FD: 40.48 Rnd: 1196,DVDOV,Triple Esports Club,"killjoy, chamber, brimstone",120.97,205.64,137.14,0.19,,14.47,406.24,40.48,0.07,47.48,0.08,24.26,446.38,1.1,71.05,27.84,0.73,1.08,1196
