agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
kayo,(23) 26%,480,1.06,176.8,0.97,115.6,77%,0.60,0.54,0.04,0.06,289,299,261,21,31,piano,https://www.vlr.gg/player/24150/piano?timespan=all
breach,(13) 15%,262,1.16,189.9,1.11,124.6,80%,0.69,0.45,0.04,0.05,180,162,117,11,13,piano,https://www.vlr.gg/player/24150/piano?timespan=all
brimstone,(12) 13%,259,1.19,178.6,1.22,114.8,82%,0.66,0.52,0.06,0.04,171,140,135,15,11,piano,https://www.vlr.gg/player/24150/piano?timespan=all
,,,,,,,,,,,,,,,,,Natalcia,https://www.vlr.gg/player/26637/natalcia?timespan=all
killjoy,(53) 46%,1125,1.18,236.9,1.25,162.8,73%,0.85,0.19,0.11,0.08,959,770,211,123,89,Natalcia,https://www.vlr.gg/player/26637/natalcia?timespan=all
cypher,(40) 35%,809,1.02,220.9,1.04,146.0,69%,0.78,0.22,0.12,0.10,632,610,179,95,78,Natalcia,https://www.vlr.gg/player/26637/natalcia?timespan=all
viper,(13) 11%,295,1.16,247.3,1.13,164.0,75%,0.85,0.34,0.15,0.08,250,221,101,43,25,Natalcia,https://www.vlr.gg/player/26637/natalcia?timespan=all
,,,,,,,,,,,,,,,,,Pichy,https://www.vlr.gg/player/17600/pichy?timespan=all
sova,(22) 21%,422,1.14,218.4,1.12,145.4,75%,0.74,0.35,0.07,0.07,314,281,148,29,28,Pichy,https://www.vlr.gg/player/17600/pichy?timespan=all
jett,(20) 19%,368,1.04,222.8,1.05,136.3,69%,0.77,0.18,0.16,0.12,283,270,66,60,45,Pichy,https://www.vlr.gg/player/17600/pichy?timespan=all
kayo,(19) 18%,386,1.17,221.4,1.13,142.0,75%,0.77,0.54,0.09,0.09,296,263,210,33,33,Pichy,https://www.vlr.gg/player/17600/pichy?timespan=all
,,,,,,,,,,,,,,,,,Dannn,https://www.vlr.gg/player/40416/dannn?timespan=all
killjoy,(10) 28%,194,1.05,207.6,1.09,138.9,70%,0.71,0.15,0.10,0.10,137,126,29,20,19,Dannn,https://www.vlr.gg/player/40416/dannn?timespan=all
viper,(7) 19%,130,1.23,204.1,1.43,136.4,82%,0.77,0.34,0.08,0.07,100,70,44,10,9,Dannn,https://www.vlr.gg/player/40416/dannn?timespan=all
sova,(4) 11%,83,0.91,191.3,0.93,127.8,76%,0.69,0.17,0.11,0.07,57,61,14,9,6,Dannn,https://www.vlr.gg/player/40416/dannn?timespan=all
,,,,,,,,,,,,,,,,,proxima,https://www.vlr.gg/player/19363/proxima?timespan=all
